,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
208873_s_at,-0.014251517344385149,0.009980350086130666,-0.00038032154681869095,0.023165042341980517,0.0013620144395003158,-0.007781382171284914,-0.018226259790251085,-0.005423120159497972,0.004443790227781695,-0.001163325386974922
201079_at,-0.00011742824472167145,-0.010897573162446847,0.01158726278812183,0.011166848283059833,-0.014495405414890028,0.011525496624185025,-0.002839449701305442,-0.009724497761485098,-0.006479732809017311,-0.027369225342427618
221726_at,-0.010567826569202143,0.015810861388002712,-0.003164855901285541,-0.0006616504674535783,-0.021511020027359638,0.015173345309143693,-0.014562656183475239,-0.009352754914386294,-0.00787477410137651,0.011183630300390365
212151_at,-0.009330129144932234,-0.0033178940974579263,0.021546019241619897,0.019046478823052874,-0.014971456445789786,0.01718618630648934,-0.008341423625697775,0.00532352286364638,-0.020261523514606923,0.0026373873515427174
200792_at,0.002690800453330782,-0.014713854899903515,-0.006730532188337008,0.0059729429094350465,-0.005014957617991384,0.013754692998243919,0.004345855500307517,0.0034571673183343902,0.005680145480339751,-0.00847442839407343
212884_x_at,0.008502512943773726,-0.001528732413150903,0.0023007319307423225,0.01291588536198367,0.015386586578901365,0.0006127916867551103,0.020633317028373777,-0.003404928885867066,-0.015496996675264265,-0.016838185437867376
202708_s_at,-0.00658357041822472,-0.004136628858202139,0.007776899188067574,0.021425091858757055,-0.002157355802109575,-0.000650862762549752,0.009704200359072311,0.0021459385141158996,-0.01869215699390711,-0.010667202190557949
208636_at,-0.003839056445919359,-0.006714559543357194,-0.01091366063425324,-0.00354429361539328,0.029266127814724797,-0.0013101306808214915,0.0012482837072429562,0.010102804327415754,-0.012326785313383581,0.014389592969662152
200693_at,0.007489002136624153,-0.014351680803877487,-0.009130167976866482,-0.013330735641886107,-0.005358818689719389,0.016343664569651185,-0.008697005086892863,0.002421532481132627,0.02947589984973474,0.013772233197625768
201885_s_at,0.005441302155055474,-0.006813767204360735,-0.006138854622129483,-0.004511731435384183,0.018391955932414515,0.004171832632764064,-0.007811234471571932,0.008079566630303875,-0.014844770888108007,-0.007850223337252327
217428_s_at,-0.008405342038247958,-0.0007544830374146274,0.01892944243189881,-0.0100001323665349,0.029662718816350887,-0.00013735926699415615,6.8302696198332e-05,-0.017413129112589517,-0.013664506913189402,-0.015236449816738142
AFFX-M27830_M_at,0.0011194288437487467,-0.0062491059202142785,-0.02255646578071217,0.012627533555378786,0.00969822674137836,-0.0012253618092928872,-0.004442440058267545,0.005273046060577914,-0.007315019484612897,0.00682137326471985
212995_x_at,-0.014809486129139375,0.006251963628609873,0.002607575276111669,0.018472593865157746,-0.013455940788788593,0.008269870052030684,0.00365224656613476,-0.013863161843831894,-0.013039747990464992,0.009587860688376217
200630_x_at,0.004674256851430698,-0.01965523066349293,-0.009583358207673287,-0.002118692636878445,-0.003185760861342647,0.005262762864017855,-0.009971490864960419,0.008680171273325802,-0.016526182467773702,0.0010012172009806499
208855_s_at,0.00211608652107136,-0.009931974954277367,-0.023902061776623552,0.007788386122706356,0.007633354496036344,0.00274613081348131,0.016083942158087568,0.01595034000835949,-0.014247676019881706,0.012765335376432575
206392_s_at,0.01357934277678636,-0.008084231082491684,-0.010163263462084921,0.008599913227284367,0.012157436991130898,0.03342811108498027,0.009209931980203296,0.006683396898154583,0.004448070307642231,0.014706823742999864
200704_at,0.006526646497824548,-0.0035041456760142955,-0.003063323926548002,0.001716193094937291,0.0002474064617712433,-0.006274973500673219,0.00864255051857697,0.007401397844552997,0.02464738402698737,-0.0011062691338081317
